受理号,药品名称,注册申请人,承办日期,申请日期,公示日期,状态,拟定适应症（或功能主治）
JYHS2300037,盐酸曲恩汀胶囊,杰谛医药科技（上海）有限公司,2023-03-11,2023-03-01,2023-03-28,已纳入,本品适用于治疗对不能耐受青霉胺的肝豆状核变性成人及儿童患者。 
无,注射用芦比替定,南京绿叶制药有限公司,,2023-03-15,2023-03-23,已纳入,适用于以铂类为基础的化疗中或化疗后肿瘤进展的转移性小细胞肺癌（SCLC）成人患者的治疗。
CXHS2300031,妥拉美替尼胶囊,上海科州药物研发有限公司,2023-02-14,2023-02-23,2023-02-28,已纳入,"本品拟用于治疗既往接受过免疫治疗的NRAS突变的晚期黑色素瘤患者
"
CXHS2300032,妥拉美替尼胶囊,上海科州药物研发有限公司,2023-02-14,2023-02-23,2023-02-28,已纳入,本品拟用于治疗既往接受过免疫治疗的NRAS突变的晚期黑色素瘤患者
CXHS2300033,妥拉美替尼胶囊,上海科州药物研发有限公司,2023-02-14,2023-02-23,2023-02-28,已纳入,本品拟用于治疗既往接受过免疫治疗的NRAS突变的晚期黑色素瘤患者
CYHS2300868,苯甲酸钠苯乙酸钠注射液,安徽沃泰生物医药有限公司,,2023-01-29,2023-02-22,已纳入,用于急性高氨血症及尿素循环障碍引起的儿童及成人的相关脑病的辅助治疗
JXSS2300021,度普利尤单抗注射液（Dupilumab Injection）,赛诺菲（中国）投资有限公司,,2023-02-13,2023-02-22,已纳入,本品用于治疗成人结节性痒疹。
无,Mavacamten胶囊,上海联拓生物科技有限公司,,2022-12-24,2023-02-22,已纳入,Mavacamten胶囊是一种心肌肌球蛋白抑制剂，适用于治疗症状性纽约心脏病协会（NYHA）心功能II-III级的梗阻性肥厚型心肌病（HCM）成人患者，以改善功能能力和症状。
CXHS2200063,齐瑞索韦肠溶胶囊,上海爱科百发生物医药技术股份有限公司,2022-12-08,2022-12-13,2023-02-17,已纳入,本品适用于由呼吸道合胞病毒（RSV）引起的2岁及以下儿童呼吸道感染的治疗。
JXSS2200039,仑卡奈单抗注射液,卫材（中国）药业有限公司,2022-12-22,2022-12-15,2023-02-17,已纳入,本品适用于治疗早期阿尔茨海默病（AD），即确认淀粉样蛋白病理的AD源性轻度认知功能障碍（MCI）和轻度AD痴呆。
